"","name","circuit","jcs"
"1","Abudu, Nancy",11,-0.422999978065491
"2","Adams, Arlin M.",3,0.0954999998211861
"3","Agee, G. Steven",4,0.261999994516373
"4","Ainsworth, Robert",5,-0.134499996900558
"5","Alarcon, Arthur L.",9,-0.386999994516373
"6","Aldisert, Ruggero",3,-0.575999975204468
"7","Aldrich, Bailey",1,0.174999997019768
"8","Alito, Samuel A., Jr.",3,0.556999981403351
"9","Allen, Florence",6,-0.241999998688698
"10","Altimari, Frank X.",2,0.181999996304512
"11","Ambro, Thomas",3,-0.314000010490417
"12","Anderson, J. Blaine",9,0.492000013589859
"13","Anderson, R. Lanier, III",5,-0.118000000715256
"14","Anderson, R. Lanier, III",11,-0.118000000715256
"15","Anderson, Robert P.",2,-0.264499992132187
"16","Anderson, Stephen H.",10,0.438499987125397
"17","Araújo Kahn, Maria",2,-0.354000002145767
"18","Arnold, Morris S.",8,0.381000012159348
"19","Arnold, Richard S.",8,-0.342000007629395
"20","Bacharach, Robert",10,-0.358000010251999
"21","Bade, Bridget Shelton",9,0.344999998807907
"22","Baldock, Bobby R.",10,0.256999999284744
"23","Barkett, Rosemary",11,-0.231000006198883
"24","Barksdale, Rhesa H.",5,0.338499993085861
"25","Barnes, Stanley",9,0.162499994039536
"26","Barrett, James E.",10,0.488999992609024
"27","Barron, David",1,-0.519500017166138
"28","Barry, Maryanne",3,-0.321999996900558
"29","Bastian, Walter M.",12,0.28099998831749
"30","Batchelder, Alice M.",6,0.556999981403351
"31","Bauer, William J.",7,0.0989999994635582
"32","Bazelon, David",12,-0.374000012874603
"33","Bea, Carlos",9,0.693000018596649
"34","Beam, Clarence A.",8,0.344999998807907
"35","Becker, Edward R.",3,0.0729999989271164
"36","Beezer, Robert R.",9,0.254999995231628
"37","Bell, Griffin",5,-0.0429999977350235
"38","Bell, Jesse S.",4,-0.06700000166893
"39","Benavides, Fortunato Pedro",5,-0.116999998688698
"40","Benjamin, DeAndrea",4,-0.319999992847443
"41","Bennett, Mark",9,0.402999997138977
"42","Benton, William",8,0.337000012397766
"43","Berzon, Marsha",9,-0.358999997377396
"44","Bianco, Joseph",2,0.402999997138977
"45","Bibas, Stephanos",3,0.624000012874603
"46","Biggs, John Jr.",3,-0.611000001430511
"47","Birch, Stanley F., Jr.",11,0.556999981403351
"48","Black, Susan H.",11,0.465999990701675
"49","Blackmun, Harry Andrew",8,0.28099998831749
"50","Bloomekatz, Rachel",6,-0.425999999046326
"51","Boggs, Danny J.",6,0.404000014066696
"52","Bone, Homer",9,-0.268333315849304
"53","Boochever, Robert",9,-0.284000009298325
"54","Borah, Wayne G.",5,-0.134499996900558
"55","Boreman, Herbert S.",4,0.28099998831749
"56","Bork, Robert",12,0.691999971866608
"57","Boudin, Michael",1,0.556999981403351
"58","Bowman, Pasco M.",8,0.195999994874001
"59","Bownes, Hugh",1,-0.354499995708466
"60","Branch, Elizabeth",11,0.48199999332428
"61","Brasher, Andrew",11,0.446000009775162
"62","Bratton, Sam Gilbert",10,-0.204499989748001
"63","Breitenstein, Jean",10,0.30799999833107
"64","Brennan, Michael",7,0.635999977588654
"65","Bress, Daniel",9,0.402999997138977
"66","Breyer, Stephen G.",1,-0.412999987602234
"67","Bright, Myron",8,-0.370999991893768
"68","Briscoe, Mary",10,-0.437999993562698
"69","Brooks, Henry L.",6,0.103000000119209
"70","Brorby, Wade",10,0.448499977588654
"71","Brown, Bailey",6,-0.354999989271164
"72","Brown, Janice Rogers",12,0.693000018596649
"73","Brown, John R.",5,0.28099998831749
"74","Browning, James Robert",9,-0.461000025272369
"75","Brunetti, Melvin T.",9,0.490500003099442
"76","Bryan, Albert V., I",4,0.133000001311302
"77","Bryson, William C.",13,-0.437999993562698
"78","Buckley, James L.",12,0.691999971866608
"79","Bumatay, Patrick",9,0.402999997138977
"80","Burger, Warren Earl",12,0.28099998831749
"81","Bush, John",6,0.647499978542328
"82","Butzner, John",4,-0.0470000021159649
"83","Bybee, Jay",9,0.693000018596649
"84","Bye, Kermit",8,-0.281499981880188
"85","Cabranes, Jose Alberto",2,-0.266499996185303
"86","Calabresi, Guido",2,-0.266499996185303
"87","Callahan, Consuelo",9,0.693000018596649
"88","Cameron, Benjamin",5,0.28099998831749
"89","Campbell, Levin H.",1,-0.100000001490116
"90","Canby, William C.",9,-0.216000005602837
"91","Cardamone, Richard J.",2,0.181999996304512
"92","Carnes, Edward E.",11,0.556999981403351
"93","Carnes, Julie",11,-0.358000010251999
"94","Carney, Susan",2,-0.351999998092651
"95","Carrillo Ramirez, Irma",5,-0.319999992847443
"96","Carson, Joel",10,0.402999997138977
"97","Carswell, George H.",5,0.305999994277954
"98","Carter, James M.",9,-0.337000012397766
"99","Castle, Latham",7,0.31700000166893
"100","Cecil, Lester L.",6,0.28099998831749
"101","Celebrezze, Anthony",6,-0.0690000057220459
"102","Chagares, Michael",3,0.693000018596649
"103","Chambers, Richard H.",9,0.640999972820282
"104","Chapman, Robert F.",4,0.391000002622604
"105","Chase, Harrie B.",2,0.513000011444092
"106","Chen, Raymond",13,-0.358000010251999
"107","Chertoff, Michael",3,0.693000018596649
"108","Childs, J. Michelle",12,-0.319999992847443
"109","Chin, Denny",2,-0.397000014781952
"110","Choy, Herbert Y.",9,0.165000006556511
"111","Christen, Morgan",9,-0.234999999403954
"112","Chung, Cindy",3,-0.3125
"113","Clark, Bennett C.",12,-0.368000000715256
"114","Clark, Charles",5,0.551999986171722
"115","Clark, Charles Edward",2,-0.156000003218651
"116","Clark, Thomas A.",5,-0.19650000333786
"117","Clark, Thomas A.",11,-0.19650000333786
"118","Clay, Eric",6,-0.395000010728836
"119","Clayton, Claude",5,-0.0160000007599592
"120","Clement, Edith Brown",5,0.693000018596649
"121","Clevenger, Raymond C.",13,0.556999981403351
"122","Clifton, Richard R.",9,0.693000018596649
"123","Coffey, John L.",7,0.261000007390976
"124","Coffin, Frank",1,-0.379000008106232
"125","Cole, Ransey Guy",6,-0.261999994516373
"126","Coleman, James P.",5,-0.0160000007599592
"127","Collet, John",8,-0.374000012874603
"128","Collins, Daniel",9,0.402999997138977
"129","Colloton, Steven",8,0.358000010251999
"130","Combs, Bert T.",6,-0.337000012397766
"131","Coney Barrett, Amy",7,0.444999992847443
"132","Contie, Leroy J.",6,0.691999971866608
"133","Cook, Deborah",6,0.263999998569489
"134","Costa, Gregg",5,-0.358000010251999
"135","Cowen, Robert E.",3,0.691999971866608
"136","Cox, Emmett R.",11,0.691999971866608
"137","Craven, James",4,-0.06700000166893
"138","Cudahy, Richard D.",7,-0.333000004291534
"139","Cummings, Walter",7,-0.5799999833107
"140","Cunningham, Tiffany",13,-0.319999992847443
"141","Cyr, Conrad F.",1,0.100000001490116
"142","Danaher, John A.",12,0.28099998831749
"143","Daughtrey, Martha Craig",6,-0.33950001001358
"144","Davis, Andre",4,-0.344999998807907
"145","Davis, Stephanie",6,-0.29449999332428
"146","Davis, W. Eugene",5,0.691999971866608
"147","DeMoss, Harold R., Jr.",5,0.550999999046326
"148","Denman, William",9,-0.179000005125999
"149","Dennis, James",5,-0.157499998807907
"150","Desai, Roopali",9,-0.158500000834465
"151","Diaz, Albert",4,-0.202000007033348
"152","Dobie, Armistead",4,-0.05799999833107
"153","Donald, Bernice",6,-0.358000010251999
"154","Douglas, Dana",5,-0.319999992847443
"155","Doyle, William E.",10,0.338499993085861
"156","Droney, Christopher",2,-0.320499986410141
"157","Dubina, Joel F.",11,0.556999981403351
"158","Duffy, Francis Ryan",7,-0.374000012874603
"159","Duhe, John M.",5,0.691999971866608
"160","Duncan, Allyson",4,0.363000005483627
"161","Duncan, Kyle",5,0.508000016212463
"162","Duniway, Benjamin",9,-0.218999996781349
"163","Dyer, David W.",5,-0.06700000166893
"164","Dyk, Timothy B.",13,-0.437999993562698
"165","Easterbrook, Frank H.",7,0.691999971866608
"166","Ebel, David M.",10,0.508000016212463
"167","Edgerton, Henry White",12,-0.368000000715256
"168","Edmondson, James L.",11,0.333000004291534
"169","Edwards, George C.",6,-0.521499991416931
"170","Edwards, Harry T.",12,-0.504000008106232
"171","Eid, Allison",10,0.444000005722046
"172","Elrod, Jennifer",5,0.413500010967255
"173","Ely, Walter",9,-0.340499997138977
"174","Engel, Albert J.",6,0.326999992132187
"175","Engelhardt, Kurt",5,0.508000016212463
"176","Erickson, Ralph",8,0.395000010728836
"177","Ervin, Samuel J., III",4,-0.237000003457069
"178","Eschbach, Jesse E.",7,0.400999993085861
"179","Evans, Terrance",7,-0.282000005245209
"180","Fagg, George B.",8,0.347500026226044
"181","Fahy, Charles",12,-0.374000012874603
"182","Fairchild, Thomas",7,-0.582499980926514
"183","Farris, Joseph Jerome",9,-0.310499995946884
"184","Fay, Peter T.",5,0.505999982357025
"185","Fay, Peter T.",11,0.505999982357025
"186","Federico, Richard",10,-0.319999992847443
"187","Fee, James Alger",9,0.224999994039536
"188","Feinberg, Wilfred",2,-0.472000002861023
"189","Ferguson, Warren J.",9,-0.386999994516373
"190","Fernandez, Ferdinand F.",9,0.351999998092651
"191","Field, John A.",4,0.551999986171722
"192","Finnegan, Philip",7,-0.44650000333786
"193","Fisher, Michael",3,0.203000009059906
"194","Fisher, Raymond",9,-0.358999997377396
"195","Flaum, Joel M.",7,0.0989999994635582
"196","Fletcher, Betty B.",9,-0.310499995946884
"197","Fletcher, William",9,-0.358999997377396
"198","Floyd, Henry",4,-0.358000010251999
"199","Forman, Phillip",3,-0.108000002801418
"200","Frank, Jerome",2,-0.452000021934509
"201","Freedman, Abraham",3,-0.575999975204468
"202","Freeman, Arianna",3,-0.312999993562698
"203","Friedland, Michelle",9,-0.358999997377396
"204","Friendly, Henry",2,0.00349999964237213
"205","Fuentes, Julio M.",3,-0.321999996900558
"206","Gajarsa, Arthur",13,-0.437999993562698
"207","Ganey, J. Cullen",3,-0.575999975204468
"208","Garcia, Brad",12,-0.319999992847443
"209","Gardner, Archibald",8,0.222499996423721
"210","Garland, Merrick",12,-0.437999993562698
"211","Garth, Leonard I.",3,-0.108000002801418
"212","Garwood, William L.",5,0.444000005722046
"213","Garza, Emilio M.",5,0.550999999046326
"214","Garza, Reynaldo",5,-0.163000002503395
"215","Gee, Thomas G.",5,0.444000005722046
"216","Gelpi, Gustavo",1,-0.319999992847443
"217","Gewin, Walter P.",5,-0.234499990940094
"218","Gibbons, John J.",3,-0.108000002801418
"219","Gibbons, Julia Smith",6,0.384499996900558
"220","Gibson, Floyd",8,-0.314999997615814
"221","Gibson, John R.",8,0.195999994874001
"222","Gilman, Ronald Lee",6,-0.437999993562698
"223","Ginsburg, Douglas, H.",12,0.691999971866608
"224","Ginsburg, Ruth Bader",12,-0.504000008106232
"225","Godbold, John",11,-0.234499990940094
"226","Godbold, John",5,-0.234499990940094
"227","Goldberg, Irving",5,-0.416000008583069
"228","Goodrich, Herbert",3,-0.656000018119812
"229","Goodwin, Alfred T.",9,0.0955000072717667
"230","Gorsuch, Neil",10,0.572000026702881
"231","Gould, Ronald",9,-0.351999998092651
"232","Graber, Susan",9,-0.330000013113022
"233","Grant, Britt",11,0.48199999332428
"234","Grasz, L. Steven",8,0.567000031471252
"235","Graves, James",5,-0.358000010251999
"236","Greenaway, Joseph",3,-0.374000012874603
"237","Greenberg, Morton I.",3,0.691999971866608
"238","Gregory, Roger L.",4,0.335500001907349
"239","Griffin, Richard",6,0.693000018596649
"240","Griffith, Thomas",12,0.693000018596649
"241","Gruender, Raymond",8,0.337000012397766
"242","Gurfein, Murray I.",2,-0.123999997973442
"243","Guy, Ralph B., Jr.",6,0.691999971866608
"244","Hall, Cynthia H.",9,0.351999998092651
"245","Hall, Kenneth K.",4,0.505999982357025
"246","Hall, Peter",2,0.693000018596649
"247","Hamilton, Clyde H.",4,0.391000002622604
"248","Hamilton, David",7,-0.158000007271767
"249","Hamley, Frederick",9,0.28099998831749
"250","Hamlin, Oliver D.",9,0.162499994039536
"251","Hand, Augustus",2,0.395999997854233
"252","Hand, Learned",2,0.433999985456467
"253","Hansen, David R.",8,0.358000010251999
"254","Hardiman, Thomas",3,0.068000003695488
"255","Harlan, John Marshall",2,0.0430000014603138
"256","Harris, Pamela",4,-0.358000010251999
"257","Hartigan, John P.",1,-0.299000024795532
"258","Hartz, Harris L.",10,0.256999999284744
"259","Hastie, William H.",3,-0.374000012874603
"260","Hastings, John",7,0.471000015735626
"261","Hatchett, Joseph W.",5,-0.19650000333786
"262","Hatchett, Joseph W.",11,-0.19650000333786
"263","Hawkins, Michael Daly",9,-0.216000005602837
"264","Haynes, Catharina",5,0.413500010967255
"265","Haynsworth, Clement",4,0.28099998831749
"266","Hays, Paul",2,-0.472000002861023
"267","Healy, William",9,-0.150000005960464
"268","Heaney, Gerald",8,-0.435999989509583
"269","Henderson, Albert J.",11,-0.118000000715256
"270","Henderson, Albert J.",5,-0.118000000715256
"271","Henderson, Karen LeCraft",12,0.391000002622604
"272","Henley, Jesse Smith",8,0.505999982357025
"273","Henry, Robert Harlan",10,-0.142000004649162
"274","Heytens, Toby",4,-0.225500002503395
"275","Hickey, John",10,-0.239999994635582
"276","Hicks, Xenophon",6,0.395999997854233
"277","Higginbotham, Aloyisus Leon",3,-0.504000008106232
"278","Higginbotham, Patrick E.",5,0.444000005722046
"279","Higginson, Stephen",5,-0.202999994158745
"280","Hill, Delmas",10,-0.472000002861023
"281","Hill, James C.",5,0.505999982357025
"282","Hill, James C.",11,0.505999982357025
"283","Hill, Robert M.",5,0.444000005722046
"284","Hincks, Carroll",2,0.233000010251999
"285","Ho, James",5,0.630500018596649
"286","Holloway, William",10,-0.332000017166138
"287","Holmes, Edwin",5,-0.327000021934509
"288","Holmes, Jerome",10,0.666999995708466
"289","Howard, Jeffrey R.",1,0.526000022888184
"290","Hufstedler, Shirley",9,-0.337000012397766
"291","Hug, Procter R.",9,-0.210999995470047
"292","Hughes, Todd",13,-0.358000010251999
"293","Hull, Frank M.",11,-0.219999998807907
"294","Hunsaker, Danielle",9,0.402999997138977
"295","Hunter, James, III",3,-0.108000002801418
"296","Hurwitz, Andrew",9,-0.358000010251999
"297","Hutcheson, John Chappell, Jr.",5,NA
"298","Hutchinson, William D.",3,0.0729999989271164
"299","Huxman, Walter",10,-0.368000000715256
"300","Ikuta, Sandra",9,0.693000018596649
"301","Ingraham, Joe M.",5,0.444000005722046
"302","Jackson, Ketanji Brown",12,-0.319999992847443
"303","Jackson-Akiwumi, Candace",7,-0.342000007629395
"304","Jacobs, Dennis G.",2,0.181999996304512
"305","Jertberg, Gilbert",9,0.162499994039536
"306","Johnsen, Harvey",8,-0.0860000029206276
"307","Johnson, Frank M.",5,-0.199499994516373
"308","Johnson, Frank M.",11,-0.199499994516373
"309","Johnson, Sam D.",5,-0.163000002503395
"310","Johnstone, Anthony",9,-0.214000001549721
"311","Jolly, E. Grady",5,0.287000000476837
"312","Jones, Edith H.",5,0.550999999046326
"313","Jones, Nathaniel R.",6,-0.377000004053116
"314","Jones, Warren",5,0.28099998831749
"315","Jordan, Adalberto",11,-0.193000003695488
"316","Jordan, Kent",3,0.693000018596649
"317","Kalodner, Harry E.",3,-0.550999999046326
"318","Kanne, Michael S.",7,0.400999993085861
"319","Kastas, Gregory",12,0.402999997138977
"320","Katzmann, Robert",2,-0.328000009059906
"321","Kaufman, Irving R.",2,-0.472000002861023
"322","Kavanaugh, Brett",12,0.693000018596649
"323","Kayatta, William",1,-0.358000010251999
"324","Kearse, Amalya Lyle",2,-0.300999999046326
"325","Keenan, Barbara",4,-0.1875
"326","Keith, Damon J.",6,-0.425999999046326
"327","Kelly, Jane",8,-0.351000010967255
"328","Kelly, John David",8,-0.281499981880188
"329","Kelly, Paul J., Jr.",10,0.256999999284744
"330","Kennedy, Anthony McCleod",9,0.505999982357025
"331","Kennedy, Cornelia Groefsema",6,-0.41049998998642
"332","Kent, William Wallace",6,0.326999992132187
"333","Kerner, Otto, Jr.",7,-0.337000012397766
"334","Kethledge, Raymond",6,0.693000018596649
"335","Kiley, Roger J.",7,-0.5799999833107
"336","Kilkenny, John Francis",9,0.0955000072717667
"337","King, Carolyn Dineen",5,-0.163000002503395
"338","King, Robert Bruce",4,-0.317499995231628
"339","Kirsch, Thomas",7,0.622500002384186
"340","Kleinfeld, Andrew J.",9,0.282499998807907
"341","Knoch, Win G.",7,0.31700000166893
"342","Kobes, Jonathan",8,0.388999998569489
"343","Koelsch, Montgomery Oliver",9,0.40200001001358
"344","Koh, Lucy",9,-0.454666674137115
"345","Kolar, Joshua",7,-0.319999992847443
"346","Kozinski, Alex",9,0.351999998092651
"347","Krause, Cheryl",3,-0.312999993562698
"348","Kravitch, Phyllis A.",5,-0.118000000715256
"349","Kravitch, Phyllis A.",11,-0.118000000715256
"350","Krupansky, Robert B.",6,0.691999971866608
"351","Lagoa, Barbara",11,0.647500038146973
"352","Larsen, Joan",6,0.402999997138977
"353","Lay, Donald",8,-0.337000012397766
"354","Leavy, Edward",9,0.0955000072717667
